Severity,Temperature,General_Time,Latitude,Longitude
2,45,23,47.7,-122.1
2,45,0,47.5,-122.3
2,45,0,47.4,-122
2,45,0,48.1,-122.8
2,45,1,47.4,-122.1
3,45,1,47.1,-122.6
2,45,2,47.5,-122.3
3,45,3,47.8,-122.3
2,50,4,47.5,-122.3
2,50,5,47.6,-122.3
2,50,7,47.6,-122.3
2,40,9,47.7,-117.3
2,45,9,47.3,-122.5
2,40,10,47.4,-117.4
2,40,10,47.6,-117.5
2,45,10,47.7,-122.3
3,50,10,47.7,-122.3
2,50,11,47.7,-122.3
2,40,11,47.7,-117.4
2,35,12,47.9,-117.5
2,40,12,47.7,-117.4
2,40,12,47.7,-117.3
2,50,13,47.7,-122.3
2,45,13,47.8,-122.1
2,50,13,47.7,-122.3
2,45,13,47.2,-122.3
2,50,13,47.7,-122.3
3,50,13,47.5,-122.2
3,50,14,47.6,-122.3
2,50,14,47.6,-122.3
3,50,14,47.6,-122.3
2,50,14,47.6,-122.3
3,45,14,47.8,-122.2
3,50,15,47.6,-122.3
2,45,15,47.7,-122.4
3,45,15,47.8,-122.2
3,45,16,47.7,-122.3
2,50,16,47.6,-122.3
3,50,16,47.5,-122.2
2,45,17,47.9,-122
2,45,18,47.8,-121.5
2,45,18,47.6,-122.3
3,45,20,48.2,-122.2
2,35,20,47.7,-117.4
3,35,21,47,-122.8
3,40,21,47.7,-122.2
3,45,21,47,-122.9
3,45,21,47.5,-122.2
2,40,23,47.5,-122.3
2,30,2,47.7,-122.7
2,35,4,47.2,-122.5
2,35,4,47.6,-122.3
3,40,4,48,-122.2
2,35,5,46.6,-122.2
2,35,7,47.7,-122.4
2,35,7,47.6,-122.3
3,25,8,47.2,-122.4
4,25,8,47.2,-122.4
2,35,8,47.6,-122.4
3,35,10,47.2,-122.5
3,40,10,47.6,-122.3
2,30,10,47.7,-117.2
3,30,10,47.7,-117.4
3,40,11,47.6,-122.3
3,40,11,47.7,-122.3
3,35,12,47.6,-117.6
3,35,12,47.7,-117.2
2,45,12,48,-122.4
2,35,12,47.7,-117.2
2,45,13,47.7,-122.3
3,45,13,47.6,-122.3
2,45,13,47.5,-122.3
2,45,13,47.8,-122.1
2,45,13,47.7,-122.3
3,45,13,47.8,-122.3
2,50,14,47.6,-122.3
3,45,14,47.8,-122.2
2,40,15,47.8,-122.6
3,45,15,47.8,-122.3
2,45,16,47.6,-122.4
3,45,16,47.6,-122.3
3,45,16,47.7,-122.2
3,45,16,47.7,-122.2
2,45,16,47.6,-122.3
3,45,16,47.6,-122.2
2,40,17,48,-122.5
3,35,17,47.2,-122.5
2,30,17,47.7,-117.4
3,40,18,47.8,-122.2
2,35,18,48.2,-122.1
3,40,19,47.8,-122.2
2,35,20,47.5,-122.1
3,35,20,47.5,-121.9
2,30,20,47.4,-122.8
